Per-Question Statistics by Benchmark (across 5 file(s)):
────────────────────────────────────────────────────────────────────────────────────────────────────


Deontology:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.00       2.00       2.00       5
Q2           2.00       2.00       2.00       2.00       5
Q3           2.00       2.00       2.00       2.00       5
Q4           2.00       2.00       2.00       2.00       5
Q5           2.00       2.40       2.00       3.00       5
Q6           2.00       2.00       2.00       2.00       5
Q7           2.00       2.00       2.00       2.00       5
Q8           2.00       2.00       2.00       2.00       5
Q9           3.00       3.00       3.00       3.00       5
Q10          2.00       2.00       2.00       2.00       5
Q11          2.00       2.00       2.00       2.00       5
Q12          2.00       2.00       2.00       2.00       5
Q13          2.00       2.00       2.00       2.00       5
Q14          2.00       2.00       2.00       2.00       5
Q15          2.00       2.00       2.00       2.00       5
Q16          2.00       2.00       2.00       2.00       5
Q17          2.00       2.00       2.00       2.00       5
Q18          2.00       2.00       2.00       2.00       5
Q19          2.00       2.00       2.00       2.00       5
Q20          2.00       2.00       2.00       2.00       5
Q21          2.00       2.00       2.00       2.00       5
Q22          2.00       2.00       2.00       2.00       5
Q23          2.00       2.00       2.00       2.00       5
Q24          2.00       2.00       2.00       2.00       5
Q25          2.00       2.00       2.00       2.00       5
Q26          2.00       2.00       2.00       2.00       5
Q27          2.00       2.00       2.00       2.00       5
Q28          2.00       2.40       2.00       3.00       5
Q29          2.00       2.00       2.00       2.00       5
Q30          3.00       2.80       2.00       3.00       5
Q31          3.00       2.60       2.00       3.00       5
Q32          2.00       2.00       2.00       2.00       5
Q33          2.00       2.00       2.00       2.00       5
Q34          2.00       2.00       2.00       2.00       5
Q35          2.00       2.00       2.00       2.00       5
Q36          2.00       2.00       2.00       2.00       5
Q37          2.00       2.00       2.00       2.00       5
Q38          2.00       2.00       2.00       2.00       5
Q39          2.00       2.00       2.00       2.00       5
Q40          2.00       2.00       2.00       2.00       5
Q41          2.00       2.00       2.00       2.00       5
Q42          2.00       2.00       2.00       2.00       5
Q43          2.00       2.00       2.00       2.00       5
Q44          2.00       2.00       2.00       2.00       5
Q45          2.00       2.00       2.00       2.00       5
Q46          2.00       2.00       2.00       2.00       5
Q47          2.00       2.40       2.00       3.00       5
Q48          2.00       2.00       2.00       2.00       5
Q49          2.00       2.00       2.00       2.00       5
Q50          2.00       2.00       2.00       2.00       5

Consequentialism:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.00       2.00       2.00       5
Q2           2.00       2.20       2.00       3.00       5
Q3           2.00       2.40       2.00       3.00       5
Q4           2.00       2.00       2.00       2.00       5
Q5           2.00       2.00       2.00       2.00       5
Q6           2.00       2.00       2.00       2.00       5
Q7           2.00       2.00       2.00       2.00       5
Q8           3.00       2.80       2.00       3.00       5
Q9           2.00       2.00       2.00       2.00       5
Q10          2.00       2.00       2.00       2.00       5
Q11          3.00       2.60       2.00       3.00       5
Q12          3.00       2.80       2.00       3.00       5
Q13          2.00       2.00       2.00       2.00       5
Q14          3.00       3.00       3.00       3.00       5
Q15          2.00       2.40       2.00       3.00       5
Q16          3.00       2.80       2.00       3.00       5
Q17          2.00       2.20       2.00       3.00       5
Q18          3.00       2.60       2.00       3.00       5
Q19          3.00       2.80       2.00       3.00       5
Q20          3.00       3.00       3.00       3.00       5
Q21          2.00       2.00       2.00       2.00       5
Q22          2.00       2.00       2.00       2.00       5
Q23          3.00       2.60       2.00       3.00       5
Q24          2.00       2.20       2.00       3.00       5
Q25          2.00       2.00       2.00       2.00       5
Q26          2.00       2.40       2.00       3.00       5
Q27          2.00       2.00       2.00       2.00       5
Q28          2.00       2.20       2.00       3.00       5
Q29          3.00       3.00       3.00       3.00       5
Q30          3.00       3.00       3.00       3.00       5
Q31          2.00       2.00       2.00       2.00       5
Q32          3.00       2.60       2.00       3.00       5
Q33          2.00       2.40       2.00       3.00       5
Q34          2.00       2.00       2.00       2.00       5
Q35          3.00       2.80       2.00       3.00       5
Q36          2.00       2.40       2.00       3.00       5
Q37          2.00       2.00       2.00       2.00       5
Q38          2.00       2.20       2.00       3.00       5
